Nombre,Marca,Clase,Precio,Peso,Volumen,Año de Fabricación,Capacidad de Baterí­a,Resolución,Tipo de Pantalla,Conectividad,Memoria RAM,Almacenamiento,Resistencia al Agua,Número de bodega,Número de estante
camara,Sony,Electrodomésticos,7470603,2.744.169.300.007.330,22.910.373.453.601.600,2016,,8K,,,,,,3,3
tablet,Apple,Audioportátil,6576533,23.641.727.973.964.900,5.484.465.827.531.240,2011,,,LED,4G,4GB,256GB,,2,8
secadora,Bosch,Comunicaciones,6823465,7.483.008.111.980.820,12.538.980.083.548.300,2022,,,,,,,,2,4
televisores,Sony,Electrodomésticos,3084665,8.493.170.538.138.980,16.578.510.205.310.100,2004,,,LED,,,,,3,8
teclado,Razer,Electrodomésticos,7649994,13.234.177.052.490.200,26.346.074.582.938.200,2012,,,,,,,,1,4
cpu,IBM,Electrodomésticos,1233796,27.266.359.881.594.200,13.383.116.348.843.700,2008,,,,,,,,1,1
lavadora,Bosch,Audioportátil,1276083,23.251.416.322.381,10.499.482.865.663.200,2005,,,,,,,,1,2
smart watch,Garmin,Informática,2685394,3.431.942.322.998.800,155.735.633.327.801,2016,4240.0,,LCD,5G,,,,1,9
camara,Panasonic,Monitores,4682836,2.434.489.592.569.280,4.369.983.646.377.970,2012,,,,,,,,3,2
celular,Huawei,Comunicaciones,645080,21.651.563.819.278.900,17.497.603.131.783.200,2012,8528.0,,,5G,16GB,512GB,IP68,1,4
cargador,Apple,Electrodomésticos,7360725,4.653.212.717.620.680,9.864.797.030.378.570,2002,,,,,,,,2,5
nevera,Whirlpool,Comunicaciones,1808897,3.750.731.806.085.010,16.626.581.777.033.600,2004,,,,,,,,2,5
parlante,Bose,Comunicaciones,4597554,16.242.180.885.244.500,21.930.825.698.088.800,2022,,,,4G,,,,2,1
mouse,Razer,Audio,2696215,608.362.161.970.581,3.164.897.813.216.650,2004,,,,,,,,1,10
lavadora,Whirlpool,Electrodomésticos,8375470,4.250.480.377.888.570,14.718.283.370.300.800,2001,,,,,,,,1,8
monitor,Samsung,Fotografía,2504951,4.115.848.597.233.880,8.644.596.612.718.840,2023,,4K,LED,,,,,1,5
laptop,Apple,Audio,5891711,2.353.750.187.758.910,3.138.499.643.538.600,2018,,,LED,WiFi,4GB,128GB,,3,2
monitor,Dell,Comunicaciones,5130635,22.436.605.469.173.900,15.437.642.584.076.600,2003,,4K,LED,,,,,3,9
monitor,HP,Informática,5703832,13.815.894.498.199.700,977.693.719.233.105,2014,,4K,OLED,,,,,1,6
mouse,Microsoft,Wearables,9645150,4.882.470.912.743.130,4.222.356.479.807.400,2016,,,,,,,,1,1
cargador,Anker,Videojuegos,7585232,2.145.732.854.165.590,12.139.253.947.982.800,2003,,,,,,,,2,6
cargador,Apple,Comunicaciones,4362340,481.143.256.819.119,17.110.183.388.426.900,2006,,,,,,,,3,2
laptop,Dell,Fotografía,9731206,48.893.516.308.247.200,6.031.823.966.896.650,2001,,,LED,WiFi,4GB,,,2,8
parlante,LG,Audioportátil,3416390,7.236.584.550.040.010,3.233.539.137.112.530,2008,,,,Bluetooth,,,,3,3
secadora,Bosch,Audioportátil,3475291,3.922.907.195.642.720,14.495.585.426.085.600,2004,,,,,,,,2,1
mouse,Logitech,Wearables,6071517,6.916.667.190.376.000,12.971.139.651.028.600,2018,,,,,,,,3,1
laptop,Apple,Audio,946264,15.641.939.084.489.300,3.310.945.460.940.290,2015,,,LED,WiFi,,64GB,,3,1
secadora,Samsung,Audioportátil,3808324,4.821.157.585.409.560,1.392.762.033.170.410,2000,,,,,,,,2,7
lavadora,Bosch,Fotografía,3812184,275.853.326.489.867,13.776.092.241.488.400,2013,,,,,,,,1,7
tablet,Amazon,Wearables,864799,36.127.736.741.915.200,6.249.855.939.797.980,2017,4859.0,,,,4GB,64GB,,2,3
laptop,Apple,Informática,4079073,22.405.906.923.456.800,5.040.794.053.073.360,2007,,,,4G,4GB,256GB,,1,1
televisores,Samsung,Audio,2822095,987.347.414.871.212,12.617.693.471.986.200,2008,,4K,OLED,,,,,3,5
tablet,Amazon,Comunicaciones,6611097,3.055.798.172.233.860,5.940.080.351.331.550,2010,,,,NFC,16GB,512GB,,1,1
nevera,GE,Electrodomésticos,1443649,33.694.313.925.703.400,1.745.883.490.990.860,2023,,,,,,,,1,4
parlante,Sony,Fotografía,2941799,2.181.897.441.660.690,14.136.169.112.265.500,2014,,,,4G,,,,2,4
smart watch,Garmin,Informática,8362177,10.344.452.261.514.000,1.281.289.320.605.470,2005,,,LCD,WiFi,,,None,3,9
monitor,HP,Wearables,3262246,12.723.320.316.248.300,6.715.403.056.011.730,2017,,,,,,,,3,10
tablet,Apple,Videojuegos,2614170,12.087.476.722.609.900,670.870.744.898.807,2021,2573.0,,,WiFi,16GB,128GB,,1,3
parlante,LG,Monitores,6707370,43.075.573.747.843.000,27.529.870.161.427.100,2021,,,,,,,,1,10
audifonos,Beats,Informática,9604632,4.739.682.542.095.860,24.385.293.839.294.200,2000,,,,WiFi,,,,3,7
secadora,Whirlpool,Videojuegos,3375926,5.447.618.149.962.180,12.580.297.053.516.400,2007,,,,,,,,1,8
mouse,Microsoft,Audio,8147289,23.004.454.034.466.400,4.928.828.506.801.460,2003,,,,,,,,1,8
parlante,JBL,Informática,5324547,4.277.684.990.211.660,2.776.670.144.242.610,2020,,,,,,,,2,5
camara,Nikon,Videojuegos,7479133,3.754.024.402.069.440,2.204.409.626.647.940,2000,,,,,,,,2,10
mouse,Razer,Informática,6393275,16.795.887.301.368.800,33.632.402.576.532.100,2022,,,,,,,,3,7
parlante,Sony,Wearables,7142828,36.942.986.282.757.600,13.798.581.590.336.600,2000,,,,WiFi,,,,1,7
camara,Sony,Monitores,4165318,47.710.660.508.131.600,23.803.174.680.958.700,2016,,8K,,,,,,3,6
nevera,Whirlpool,Audioportátil,5359551,3.857.636.660.641.550,1.642.226.105.186.430,2019,,,,,,,,3,6
secadora,Bosch,Videojuegos,3012375,1.863.074.226.612.540,128.505.752.810.913,2010,,,,,,,,3,3
audifonos,Bose,Videojuegos,4581747,16.588.396.277.841.300,250.389.938.199.764,2017,,,,Bluetooth,,,,3,2
teclado,Microsoft,Wearables,9807522,39.122.199.555.891.200,11.265.569.610.014.700,2008,,,,,,,,3,5
televisores,LG,Informática,2657095,4.411.333.784.298.920,10.335.637.276.362.700,2007,,1080p,OLED,,,,,2,3
lavadora,Bosch,Wearables,5801990,23.614.195.217.274.200,14.760.709.318.305.700,2007,,,,,,,,3,1
cargador,Samsung,Wearables,8408795,26.336.962.087.777.800,12.013.824.261.358.600,2000,,,,,,,,2,10
secadora,Bosch,Electrodomésticos,9020933,3.328.776.523.932.940,13.010.658.802.834.400,2002,,,,,,,,2,6
lavadora,Whirlpool,Audio,3159503,20.797.942.695.930.400,11.417.326.641.543.500,2003,,,,,,,,3,6
parlante,Sony,Electrodomésticos,7363596,5.664.291.565.616.960,20.880.823.091.732.900,2003,,,,WiFi,,,,1,2
cargador,Samsung,Comunicaciones,5811564,18.370.062.318.700.300,15.885.876.694.786.600,2019,,,,,,,,2,4
cargador,Samsung,Electrodomésticos,203223,40.307.940.382.678.500,14.510.848.529.165.600,2023,,,,,,,,1,8
cpu,Intel,Informática,6896971,16.363.064.977.364.700,15.608.819.805.646.300,2011,,,,,,,,3,3
cargador,Belkin,Comunicaciones,8346152,4.778.324.775.822.770,15.247.194.128.373.700,2007,,,,,,,,3,5
nevera,Samsung,Videojuegos,330305,4.109.845.807.688.010,2.969.571.719.959.550,2010,,,,,,,,2,3
smart watch,Samsung,Monitores,2984295,3.413.108.525.150.380,8.419.186.749.408.710,2017,3930.0,,,WiFi,,,,2,3
smart watch,Fitbit,Fotografía,6441853,25.655.919.304.981.700,19.363.225.004.695.300,2001,6948.0,,LED,5G,,,IP67,2,8
laptop,HP,Audio,2807202,425.723.137.238.963,35.422.235.118.936.500,2001,4584.0,,LCD,4G,16GB,512GB,,1,3
tablet,Amazon,Audioportátil,4278450,16.124.334.830.038.100,6.623.061.870.259.450,2022,9128.0,,OLED,WiFi,16GB,512GB,,2,8
mouse,HP,Videojuegos,8606753,1.360.325.796.352.050,2.899.939.660.772.750,2022,,,,,,,,2,10
mouse,Razer,Wearables,2349938,7.228.908.817.534.350,2.306.935.404.087.230,2020,,,,,,,,2,10
celular,Huawei,Audio,1197683,27.166.560.038.603.600,3.214.181.235.858.100,2001,,,,4G,16GB,128GB,IP67,1,7
audifonos,Sony,Audio,4507236,12.131.250.058.562.300,4.822.361.611.202.560,2022,,,,,,,,1,4
audifonos,Beats,Audioportátil,3863386,41.403.370.771.797.000,16.068.726.008.060.200,2023,,,,,,,,3,8
tablet,Apple,Videojuegos,3726877,9.704.372.373.133.640,41.060.754.142.197.400,2010,5670.0,,OLED,WiFi,4GB,128GB,,3,4
monitor,Dell,Fotografía,8955130,3.739.891.632.080.450,18.961.527.770.832.000,2002,,,,,,,,2,1
camara,Sony,Audio,3273758,8.891.017.113.428.200,34.414.035.675.730.100,2022,,1080p,,,,,,1,5
cargador,Belkin,Wearables,2115257,23.727.286.854.628.200,11.210.067.647.491.200,2004,,,,,,,,2,6
smart watch,Fitbit,Fotografía,3509768,3.782.690.848.122.710,13.677.337.144.311.900,2023,,,LED,WiFi,,,IP67,1,10
teclado,Razer,Electrodomésticos,6793215,3.727.817.530.754.010,7.820.201.087.659.120,2012,,,,,,,,1,3
cpu,Qualcomm,Audioportátil,7890739,9.677.998.293.523.050,13.632.499.508.595.400,2019,,,,,,,,3,5
parlante,Sony,Monitores,727919,32.480.038.610.054.000,4.237.203.174.251.260,2005,,,,NFC,,,,1,6
secadora,LG,Wearables,4659993,36.074.184.719.971.600,11.703.804.394.884.600,2005,,,,,,,,2,8
cargador,Samsung,Audioportátil,7139683,9.848.810.003.493.170,1.983.058.178.227.630,2010,,,,,,,,1,5
monitor,LG,Electrodomésticos,1584254,264.306.358.731.927,19.450.910.479.802.200,2007,,,LED,,,,,2,4
teclado,Microsoft,Monitores,8307224,22.241.418.796.315.900,27.719.635.014.108.900,2002,,,,,,,,1,9
laptop,Dell,Wearables,826020,4.232.498.676.811.030,7.551.280.938.758.050,2007,9984.0,,LED,WiFi,8GB,128GB,,3,10
cargador,Apple,Audio,5557125,2.686.388.343.196.560,16.659.289.611.036.400,2008,,,,,,,,1,8
smart watch,Samsung,Wearables,5116857,7.847.020.008.957.860,5.445.794.614.882.930,2004,,,LCD,4G,,,,1,3
lavadora,Samsung,Informática,3837101,3.426.260.554.604.110,13.974.096.085.019.700,2022,,,,,,,,2,6
camara,Panasonic,Monitores,5593271,29.925.814.172.279.500,4.021.248.568.561.190,2009,,1080p,,,,,,1,3
teclado,Razer,Videojuegos,7977944,3.324.920.225.534.960,13.276.934.281.223.400,2023,,,,,,,,3,7
cargador,Belkin,Electrodomésticos,7640235,24.767.645.827.117.000,6.842.337.890.325.760,2011,,,,,,,,3,3
parlante,Bose,Wearables,6227216,10.449.594.163.709.100,3.978.970.742.743.760,2003,,,,NFC,,,,1,9
teclado,Logitech,Wearables,4644809,2.755.001.587.776.110,11.293.019.064.271.900,2011,,,,,,,,2,9
tablet,Huawei,Audioportátil,9946480,17.885.725.343.265.700,29.472.598.982.404.500,2014,,,LCD,Bluetooth,4GB,256GB,,1,1
cargador,Apple,Comunicaciones,929046,20.863.710.023.278.700,1.898.522.247.712.540,2002,,,,,,,,3,7
camara,Sony,Wearables,8705315,12.571.399.759.956.900,17.783.310.144.021.600,2020,,4K,,,,,,2,6
audifonos,Sony,Wearables,7150779,3.984.832.249.839.730,46.352.291.233.154.000,2007,,,,,,,,1,1
secadora,Whirlpool,Wearables,7449429,12.213.846.600.221.700,10.313.287.322.058.900,2000,,,,,,,,1,5
televisores,Sony,Fotografía,3946068,116.594.469.691.504,10.720.100.818.310.400,2002,,8K,LCD,,,,,1,3
celular,Huawei,Electrodomésticos,1678421,2.746.819.422.147.400,3.479.650.466.428.430,2010,,,,Bluetooth,16GB,1TB,None,3,3
mouse,Razer,Audioportátil,2643817,42.725.967.386.089.500,38.744.874.557.722.400,2003,,,,,,,,2,10
camara,Sony,Fotografía,3962155,954.139.192.497.986,4.928.651.717.436.170,2017,,4K,,,,,,1,2
smart watch,Samsung,Informática,1986820,32.630.559.371.747.400,8.505.265.240.588.450,2012,7674.0,,LED,NFC,,,,2,6
mouse,Logitech,Comunicaciones,2386420,3.017.737.370.151.670,441.235.593.795.737,2007,,,,,,,,2,7
monitor,LG,Electrodomésticos,9476150,16.383.400.759.067.900,15.165.909.934.708.800,2013,,,LED,,,,,1,2
audifonos,Bose,Videojuegos,9596096,33.152.975.117.345.000,11.555.492.014.299.000,2022,,,,5G,,,,1,7
cpu,Qualcomm,Audioportátil,5716255,45.190.034.527.841.500,15.184.726.699.520.500,2004,,,,,,,,1,5
cargador,Belkin,Electrodomésticos,8318162,7.897.355.479.324.250,16.010.590.837.530.000,2014,,,,,,,,1,8
parlante,JBL,Electrodomésticos,2319364,3.270.835.456.985.560,13.260.056.986.580.400,2018,,,,5G,,,,2,4
parlante,LG,Informática,4628784,27.417.513.532.015.900,25.384.152.923.382.300,2018,,,,WiFi,,,,3,1
mouse,Microsoft,Electrodomésticos,7454417,19.593.137.413.268.000,2.544.785.426.493.940,2008,,,,,,,,1,9
camara,Canon,Videojuegos,8070589,3.697.587.089.960.380,23.370.835.444.954.100,2016,,4K,,,,,,3,1
cpu,Intel,Wearables,1244575,39.310.961.790.831.300,14.400.843.616.870.900,2021,,,,,,,,3,4
cargador,Samsung,Videojuegos,1611812,3.578.163.450.344.730,7.082.634.587.265.940,2018,,,,,,,,1,10
mouse,Microsoft,Wearables,8874331,14.189.442.755.582.300,21.736.613.032.886.600,2021,,,,,,,,3,8
laptop,Lenovo,Informática,9689719,20.329.034.932.113.800,37.762.968.038.838.800,2020,8384.0,,LED,,4GB,,,2,6
camara,Sony,Comunicaciones,3320600,4.421.501.635.440.880,233.051.846.457.335,2022,,8K,,,,,,2,5
cargador,Samsung,Audio,5095443,29.650.404.474.001.700,7.431.074.374.853.960,2003,,,,,,,,2,7
smart watch,Samsung,Audioportátil,1551210,12.925.613.624.940.900,18.389.553.866.855.400,2010,5734.0,,OLED,,,,IP68,3,9
parlante,Bose,Electrodomésticos,1565603,15.423.274.090.282.200,11.177.182.472.377.700,2018,,,,,,,,1,5
televisores,LG,Wearables,3553806,4.190.424.941.772.870,6.503.938.227.285.910,2021,,1080p,OLED,,,,,3,5
laptop,Lenovo,Videojuegos,8225857,10.625.702.339.749.800,4.151.071.378.579.120,2022,7160.0,,LED,,32GB,256GB,,3,10
camara,Panasonic,Audioportátil,6032170,260.273.725.503.242,38.357.139.701.430.300,2016,,1080p,,,,,,2,3
mouse,Razer,Informática,7244937,13.485.208.529.525.100,38.252.642.988.523.600,2008,,,,,,,,2,8
celular,Samsung,Monitores,1343230,34.524.576.172.932.100,2.137.308.429.434.180,2021,2852.0,,,NFC,32GB,256GB,None,2,8
lavadora,LG,Comunicaciones,3833300,40.177.036.313.432.700,14.077.715.987.452.200,2000,,,,,,,,2,4
secadora,LG,Electrodomésticos,646640,26.609.598.430.067.100,14.572.448.314.183.300,2023,,,,,,,,3,1
cargador,Anker,Comunicaciones,9737379,17.645.512.138.888.300,17.015.160.285.452.500,2001,,,,,,,,3,10
audifonos,Bose,Electrodomésticos,9120873,1.159.213.622.447.450,288.276.520.499.663,2001,,,,Bluetooth,,,,3,4
mouse,Microsoft,Monitores,9395245,31.755.718.335.717.800,3.309.742.297.957.940,2010,,,,,,,,2,2
cargador,Samsung,Audioportátil,1720021,26.370.797.378.307.200,13.338.726.002.126.000,2023,,,,,,,,1,10
tablet,Huawei,Informática,7048101,29.342.394.870.975.100,4.479.975.732.257.330,2014,4269.0,,LCD,Bluetooth,4GB,1TB,,2,1
nevera,GE,Electrodomésticos,4550355,42.803.523.564.332.100,2.789.572.555.616.040,2002,,,,,,,,3,2
monitor,HP,Informática,5962513,9.614.855.203.233.220,7.601.766.906.944.090,2001,,,OLED,,,,,1,2
smart watch,Garmin,Videojuegos,8225455,7.141.002.160.124.790,783.544.209.647.054,2003,2097.0,,LCD,,,,IP67,3,7
televisores,LG,Comunicaciones,9805534,14.862.221.948.695.200,5.592.397.911.497.030,2011,,8K,LED,,,,,1,3
teclado,Razer,Informática,4594773,24.687.576.780.465.400,9.591.623.332.179.560,2021,,,,,,,,2,4
lavadora,Whirlpool,Comunicaciones,7264255,3.370.746.009.931.450,11.044.438.962.499.100,2012,,,,,,,,2,2
mouse,Logitech,Electrodomésticos,3441937,33.034.720.967.239.900,24.720.821.066.829.300,2020,,,,,,,,2,3
monitor,Samsung,Comunicaciones,6276512,31.957.531.943.774.800,1.660.457.736.761.600,2020,,4K,,,,,,3,10
cargador,Belkin,Electrodomésticos,7799286,2.450.487.467.445.460,12.058.611.314.303.500,2019,,,,,,,,1,6
audifonos,Sennheiser,Comunicaciones,7170780,31.962.352.014.900.500,30.457.842.916.225.600,2011,,,,,,,,3,3
lavadora,Samsung,Fotografía,9621770,4.366.802.048.317.510,10.731.342.097.218.100,2003,,,,,,,,3,8
lavadora,Samsung,Audio,4508346,27.896.819.331.093.200,11.443.567.337.248.500,2006,,,,,,,,1,2
audifonos,Sony,Comunicaciones,7675927,4.911.912.564.759.160,2.180.055.738.817.960,2009,,,,,,,,2,9
teclado,Logitech,Audio,2927075,4.005.990.180.960.270,1.952.806.889.321.340,2020,,,,,,,,2,5
secadora,Whirlpool,Monitores,5606790,21.022.448.610.775.200,14.093.325.774.431.000,2014,,,,,,,,1,4
camara,Panasonic,Comunicaciones,5573569,29.410.879.489.384.100,4.432.216.963.008.190,2022,,8K,,,,,,2,3
smart watch,Garmin,Audio,9012526,3.379.454.357.333.300,15.522.582.057.891.200,2016,,,OLED,4G,,,None,1,6
audifonos,Sennheiser,Videojuegos,3750172,592.163.736.173.612,47.434.193.414.942.100,2004,,,,4G,,,,2,2
parlante,Bose,Informática,9910643,10.074.942.486.855.200,2.285.062.714.455.280,2001,,,,NFC,,,,3,5
cpu,AMD,Wearables,8113513,3.495.157.005.726.850,7.146.684.550.956.760,2012,,,,,,,,3,1
monitor,LG,Audio,2186335,22.206.739.087.847.200,5.766.562.668.572.680,2023,,,OLED,,,,,1,7
monitor,Dell,Audioportátil,7532190,4.423.771.953.731.000,7.399.525.890.633.820,2013,,4K,LCD,,,,,2,6
smart watch,Samsung,Monitores,1049044,20.251.633.610.394.500,1.373.542.109.575.650,2002,4645.0,,LED,5G,,,,3,4
laptop,Dell,Wearables,2717794,4.322.332.047.054.800,36.697.616.492.318.800,2002,9795.0,,LED,,8GB,1TB,,1,7
audifonos,Sennheiser,Fotografía,3282752,4.684.671.095.574.610,17.394.600.808.225.200,2005,,,,Bluetooth,,,,1,10
parlante,Bose,Audio,4173603,42.401.674.911.702.400,4.490.640.455.744.630,2012,,,,4G,,,,1,7
celular,Apple,Comunicaciones,3290938,4.039.562.140.001.110,29.913.596.785.819.300,2016,7129.0,,,Bluetooth,,1TB,None,3,9
camara,Canon,Audioportátil,6161951,18.915.359.115.610.800,20.457.439.375.587.800,2020,,4K,,,,,,3,6
cpu,AMD,Fotografía,5854687,3.926.088.303.079.160,11.210.884.475.913.000,2008,,,,,,,,2,9
smart watch,Fitbit,Audioportátil,2398595,4.166.864.411.704.560,1.431.064.855.309.990,2007,2698.0,,OLED,Bluetooth,,,,3,8
celular,Samsung,Comunicaciones,9229630,3.613.118.828.125.980,2.594.448.267.582.930,2020,,,,Bluetooth,8GB,512GB,IP67,1,3
secadora,Bosch,Comunicaciones,6240778,15.018.897.700.317.800,13.288.322.472.992.400,2016,,,,,,,,2,1
televisores,Samsung,Audioportátil,374368,11.629.249.769.528.800,897.404.608.399.555,2000,,,,,,,,3,5
mouse,Logitech,Audio,6916886,21.752.341.890.573.200,355.035.564.797.038,2010,,,,,,,,1,7
cargador,Apple,Monitores,257866,4.520.823.420.486.640,18.045.062.075.594.300,2007,,,,,,,,2,10
mouse,Microsoft,Wearables,5267021,23.605.399.015.847.100,2.995.801.980.676.570,2020,,,,,,,,3,8
cargador,Apple,Wearables,8570000,39.332.855.211.618.800,1.794.714.149.319.980,2013,,,,,,,,1,9
celular,Samsung,Wearables,7495004,343.257.565.567.163,285.503.462.085.613,2015,3634.0,,,4G,8GB,128GB,,3,6
audifonos,Sony,Audioportátil,5179143,14.860.847.520.751.400,26.515.845.081.789.300,2004,,,,NFC,,,,1,4
smart watch,Apple,Electrodomésticos,4458510,4.712.424.963.252.430,13.505.020.200.538.400,2014,,,OLED,,,,IP68,2,3
audifonos,Sennheiser,Monitores,3669597,20.867.318.041.361.000,3.937.542.377.082.490,2014,,,,,,,,2,7
audifonos,Beats,Audioportátil,1671998,2.080.950.910.056.570,3.542.632.606.715.690,2009,,,,WiFi,,,,3,6
laptop,Dell,Monitores,6270250,10.946.865.023.475.600,6.436.993.031.806.260,2022,,,LCD,4G,,512GB,,2,5
cargador,Apple,Monitores,6976192,720.009.676.798.666,1.202.339.471.363.360,2021,,,,,,,,3,5
camara,Nikon,Informática,3733749,19.307.451.774.032.900,1.936.972.390.822.790,2004,,8K,,,,,,1,5
cpu,Qualcomm,Wearables,5882003,2.165.429.794.883.560,8.732.526.910.424.180,2011,,,,,,,,1,5
teclado,Microsoft,Fotografía,6869509,3.930.797.328.632.310,10.418.789.207.783.300,2018,,,,,,,,2,6
mouse,Razer,Videojuegos,3891566,8.246.107.525.959.290,21.484.078.972.223.800,2015,,,,,,,,1,4
tablet,Amazon,Audio,4909016,2.064.233.893.800.660,3.666.650.041.840.000,2014,1776.0,,,4G,8GB,,,2,3
monitor,Dell,Audio,9373779,2.528.586.335.394.640,11.252.733.844.986.100,2023,,4K,LED,,,,,1,4
camara,Nikon,Fotografía,5357876,1.761.499.435.078.790,8.674.292.057.807.640,2009,,4K,,,,,,3,3
smart watch,Fitbit,Comunicaciones,9591528,11.056.928.626.078.500,15.887.922.906.329.300,2021,8099.0,,LED,5G,,,IP68,1,2
monitor,HP,Electrodomésticos,697829,24.399.163.320.134.500,13.544.485.089.271.000,2021,,8K,OLED,,,,,3,6
televisores,TCL,Monitores,4870772,28.882.882.714.675.100,9.662.806.160.591.190,2013,,8K,LED,,,,,3,5
lavadora,Bosch,Audio,5852527,38.745.055.300.211.900,10.615.571.376.268.100,2005,,,,,,,,2,5
secadora,Bosch,Wearables,7101549,4.678.899.608.038.830,11.529.042.848.512.200,2011,,,,,,,,1,4
cargador,Anker,Comunicaciones,8004117,7.621.063.834.399.290,6.606.621.387.360.330,2001,,,,,,,,2,9
laptop,Apple,Informática,2969497,361.743.133.785.118,40.052.438.984.741.600,2021,8700.0,,LCD,4G,4GB,1TB,,3,7
televisores,Sony,Audio,346507,12.259.963.728.391.700,15.212.554.301.647.500,2005,,8K,OLED,,,,,3,1
smart watch,Fitbit,Monitores,4219201,25.166.827.681.513.300,12.424.661.011.305.300,2004,4905.0,,OLED,NFC,,,,1,6
celular,Xiaomi,Audio,8627544,3.444.536.069.270.730,20.882.408.020.803.500,2013,9098.0,,,Bluetooth,8GB,1TB,IP68,1,10
camara,Panasonic,Monitores,9597932,30.359.373.931.467.800,29.905.388.779.114.600,2004,,4K,,,,,,3,8
lavadora,Bosch,Comunicaciones,2380539,41.969.197.995.535.200,1.079.889.701.518.450,2006,,,,,,,,3,5
parlante,LG,Monitores,156899,2.786.682.992.883.820,2.713.931.908.131.580,2012,,,,NFC,,,,1,2
cpu,IBM,Wearables,971927,1.839.658.662.101.170,17.158.252.321.156.300,2000,,,,,,,,3,8
cpu,Intel,Audioportátil,3946261,3.419.845.058.618.800,14.904.909.513.840.600,2003,,,,,,,,2,1
audifonos,Sennheiser,Comunicaciones,9757976,4.938.553.946.078.150,7.870.412.190.085.850,2009,,,,WiFi,,,,1,1
laptop,HP,Fotografía,8880029,4.810.801.800.872.640,61.807.462.417.369.400,2021,,,LED,4G,4GB,256GB,,3,9
laptop,HP,Monitores,3868875,475.816.130.288.114,7.489.389.940.206.180,2001,,,OLED,NFC,8GB,256GB,,2,8
cargador,Belkin,Fotografía,4812608,15.459.855.552.084.200,17.609.195.147.410.900,2019,,,,,,,,1,6
secadora,Samsung,Audio,6253765,25.347.252.627.762.700,13.851.421.242.187.600,2014,,,,,,,,2,9
celular,Apple,Wearables,8173060,2.585.794.108.645,3.942.293.378.341.770,2004,4092.0,,,4G,4GB,128GB,None,2,7
secadora,Whirlpool,Comunicaciones,5513587,18.828.989.199.774,13.534.512.744.990.300,2020,,,,,,,,2,2
tablet,Huawei,Electrodomésticos,4189470,25.463.512.940.378.400,5.128.682.378.731.030,2007,7856.0,,LCD,4G,8GB,64GB,,3,4
tablet,Samsung,Informática,1976404,31.300.299.066.474.100,3.160.808.433.603.990,2008,3382.0,,OLED,WiFi,,512GB,,3,2
tablet,Amazon,Comunicaciones,4930409,3.724.789.885.573.940,6.168.895.708.901.970,2018,2437.0,,LED,,16GB,64GB,,3,8
audifonos,Sony,Informática,1374376,14.473.487.542.377.800,325.381.686.854.014,2010,,,,NFC,,,,1,2
camara,Sony,Monitores,4715917,20.120.478.092.990.200,2.753.344.877.795.310,2016,,8K,,,,,,3,8
secadora,Bosch,Audio,9086924,1.830.433.747.431.320,13.932.611.938.133.700,2010,,,,,,,,3,9
nevera,LG,Monitores,609984,3.481.484.064.053.170,2.209.087.395.752.790,2003,,,,,,,,3,8
secadora,LG,Videojuegos,1973469,3.294.079.026.580.870,12.399.558.080.696.000,2013,,,,,,,,2,4
cargador,Anker,Electrodomésticos,9092507,26.810.796.624.860.700,12.198.020.376.840.400,2014,,,,,,,,3,6
secadora,Whirlpool,Electrodomésticos,4509967,5.538.833.151.068.870,14.386.206.629.407.400,2012,,,,,,,,2,9
monitor,Samsung,Fotografía,294242,247.794.671.127.021,9.935.403.196.889.250,2004,,8K,OLED,,,,,1,2
televisores,TCL,Informática,7873031,44.591.597.551.160.100,1.932.387.247.274.530,2019,,8K,LED,,,,,3,10
celular,Apple,Audio,1242305,3.481.217.788.472.070,3.725.371.576.407.020,2022,,,,WiFi,,256GB,None,1,7
celular,Xiaomi,Electrodomésticos,176464,1.360.488.686.258.240,212.933.555.444.528,2012,,,,,16GB,128GB,IP68,1,7
celular,Apple,Audioportátil,5685398,3.320.800.013.208.590,41.213.743.089.348,2023,,,,NFC,16GB,128GB,,3,8
cargador,Belkin,Fotografía,4487868,10.721.486.467.864.600,723.966.858.153.338,2022,,,,,,,,3,5
televisores,LG,Wearables,5540467,466.038.187.792.072,853.886.760.247.724,2005,,1080p,LED,,,,,2,8
celular,Xiaomi,Audioportátil,3275467,42.364.965.210.471.300,4.271.585.686.126.270,2023,8289.0,,,,4GB,1TB,IP68,1,8
smart watch,Fitbit,Fotografía,9106623,4.907.556.572.706.660,610.824.107.838.012,2010,9946.0,,LED,NFC,,,None,3,4
cpu,IBM,Comunicaciones,4811303,4.031.094.359.229.470,1.222.542.454.723.560,2007,,,,,,,,2,10
smart watch,Fitbit,Audioportátil,4276735,85.884.400.467.739,8.411.963.939.921.300,2021,2426.0,,,4G,,,None,1,10
lavadora,Samsung,Wearables,8521708,4.576.468.183.291.640,14.644.168.818.865.300,2005,,,,,,,,2,4
parlante,Sony,Electrodomésticos,6740565,353.896.604.625.481,12.204.234.407.364.100,2008,,,,,,,,3,9
cpu,IBM,Audioportátil,1481511,30.956.810.415.932.100,12.769.421.648.150.800,2011,,,,,,,,2,9
cargador,Belkin,Monitores,3147821,25.712.177.986.338.800,14.722.262.287.348.900,2003,,,,,,,,2,8
nevera,LG,Comunicaciones,639732,32.821.221.889.442.500,23.356.327.188.139.100,2020,,,,,,,,2,1
laptop,Dell,Comunicaciones,7918635,9.805.244.525.896.950,5.781.978.351.460.680,2008,,,LED,,32GB,,,2,3
